日下労務管理事務所,日下　秋夫,321-3235宇都宮市鐺山町146-9,028-667-1500,028-667-5582
木山労務管理事務所,木山　範俊,321-2116宇都宮市徳次郎町109,028-665-1943,028-665-0197
社会保険労務士恩田貞成事務所,恩田　貞成,321-0406宇都宮市金田町637,028-674-3387,028-674-2815
鈴木悦子社会保険労務士事務所,鈴木　悦子,320-0032宇都宮市昭和3-2-8,028-622-7030,028-622-5099
黒崎労務管理事務所,黒崎　弘道,320-0036宇都宮市小幡1-3-15,028-622-3003,028-627-2289
赤津労務管理事務所,赤津　三男,320-0857宇都宮市鶴田1-9-1,028-902-1321,None
岡澤労務管理事務所,岡澤　碩哉,320-0051宇都宮市上戸祭町730-14,028-621-5923,028-621-5923
櫻井労務管理事務所,櫻井　富夫,320-0071宇都宮市野沢町194-37,028-665-6618,028-665-6618
内野労務管理事務所,内野　直忠,320-0055宇都宮市下戸祭2-12-14,028-621-5014,028-621-5214
守屋労務管理事務所,守屋　昌幸,320-0015 宇都宮市八幡台13-5,028-612-5757,028-612-5754
菊元労務管理事務所,菊元　功,321-0942宇都宮市峰2-2-1シーデーピージャパン株式会社本社ビル3階,028-680-5080,028-680-5790
井上労務管理事務所,井上　一雄,320-0046宇都宮市西一の沢町6-6,028-634-7551,028-634-7550
社会保険労務士法人　田中労務管理,田中　徳,321-0904宇都宮市陽東5-11-9肇ビル1ＦＡ号,028-688-7573,028-688-7587
手塚労務コンサルタント事務所,手塚　憲市,321-0954宇都宮市元今泉8-1-22,028-622-3306,028-625-3837
平成労務管理事務所,峰岸　一朗,321-0968宇都宮市中今泉5-6-12,028-660-8511,028-660-8500
脇社会保険労務士事務所,脇　登志子,320-0834宇都宮市陽南2-8-13,028-658-2875,028-659-6298
とちのき社会保険労務士法人,石下　正幸,320-0841宇都宮市六道町2-19,028-632-1652,028-632-1718
社会保険労務士星野基事務所,星野　基,321-0934宇都宮市簗瀬町3-32-3,028-637-0537,028-637-0406
森田労務管理事務所,森田　晃光,320-0043宇都宮市桜5-1-29ｸﾞﾗﾝﾄﾞﾊｲﾂﾀﾞｲｹｰ1Ｆ,028-636-8971,028-637-9821
近能労務管理事務所,安川　恵子,320-0827宇都宮市花房3-3-51,028-633-0783,028-633-0789
田村社会保険労務士事務所,田村　敬子,321-0134宇都宮市高砂町11-5,028-655-6811,028-655-3665
笹沼和子社会保険労務士事務所,笹沼　和子,None,None,None
くるす社会保険労務士事務所,来栖　和子,None,None,None
社会保険労務士法人ＣＳＲ,石下　和子,321-0138宇都宮市兵庫塚3-30-98,028-616-2251,028-616-2252
メンタルサポートろうむ,李　怜香,321-0345宇都宮市大谷町654-1,028-652-7208,None
佐藤社会保険労務士事務所,佐藤　茂,320-0826宇都宮市西原町171,028-633-2006,028-633-2172
斎藤労務管理事務所,斎藤　要士,321-3223宇都宮市清原台6-11-32,028-667-0418,028-667-0418
永島労務管理事務所,永島　要吉,329-1224塩谷郡高根沢町上高根沢4289,028-680-1473,028-680-1474
瀧労務管理事務所,瀧　英起,321-0973宇都宮市岩曽町1428-307,028-662-1880,None
浜野労務管理事務所,濱野　達哉,320-0102宇都宮市江曽島町1327-15,028-666-4646,028-666-4648
伊藤社会保険・労務管理事務所,伊藤　凖二,321-0164宇都宮市双葉3-13-1,028-645-2617,None
社会保険労務士法人ＳＯＵＭＵ,草村　健一朗,321-0132宇都宮市雀の宮5-6-33ﾒｿﾞﾝ小林103,028-688-7533,028-688-7536
矢野経営労務管理事務所,矢野　機,320-0837宇都宮市弥生2-9-11,028-635-6206,028-635-6206
田中義博社労士事務所,田中　義博,321-0152宇都宮市西川田7-1-2,028-612-1611,028-659-4959
さとう社会保険労務士事務所,佐藤　智子,320-0847宇都宮市滝谷町18-7(有)エファ内,028-639-1020,028-639-1030
樋口社会保険労務士事務所,樋口　富之,321-0166宇都宮市今宮1-6-3,028-684-2626,028-684-2627
常盤行政労務管理事務所,高橋　江美,321-0103宇都宮市台新田町157-12,028-684-1252,028-684-1253
社会保険労務士法人アミック人事サポート,高橋　友恵,321-0151宇都宮市西川田町928-1,028-908-4413,028-612-1717
木村社会保険労務士事務所,木村　栄夫,321-0933宇都宮市簗瀬町2541-5,028-612-2111,028-908-8757
オフィス人事サポート,山口　徹実,320-0003宇都宮市豊郷台2-33-2,028-643-8000,028-643-8530
社会保険労務士法人 門倉事務所,門倉　秀夫,321-0952宇都宮市泉が丘2-2-3ＰＡＯビル303,028-613-6263,028-908-6178
社会保険労務士 高橋克佳事務所,高橋　克佳,329-1104宇都宮市下岡本町2417清水ﾊｳｽ北棟101,028-673-9191,None
小玉労務管理事務所,小玉　高史,321-0934宇都宮市簗瀬1-2-1竹田ビルＢ号室,028-666-6406,050-3488-0113
こうめ社会保険労務士事務所,小梅　雄信,321-0912宇都宮市石井町1416-11,028-689-4571,028-689-4570
北條社会保険労務士事務所,北條　浩,320-0042宇都宮市材木町3-20,028-639-8210,028-616-3593
渡辺労務管理事務所,渡辺　和幸,329-1232塩谷郡高根沢町光陽台2-9-7,028-675-2424,028-675-2424
社会保険労務士西田事務所,西田　亨,321-0984宇都宮市御幸町270-17,028-689-2171,None
大島労務管理事務所,大島　一朗,320-0836宇都宮市大和3-14-2,028-658-2086,028-658-8548
